id,text_en,text_de
menu_trends,Trends of Hunger,
menu_methodology,Methodology,
menu_testimonials,Testimonials,
menu_press,Press,
menu_language,Language,
menu_english,English,
menu_german,German,Deutsch
block_results_title,Results,
block_index_title,Index,
block_hunger_title,Hunger,
block_methodology_title,Methodology,
block_about_title,About,
block_contact_title,Contact,
block_results_description,"Learn about global, regional, and national hunger levels",
block_index_description,Explore the Global Hunger Index,
block_hunger_description,Learn about different types of hunger,
block_methodology_description,How the Global Hunger Index is calculated,
block_about_description,What is the Global Hunger Index?,
block_contact_description,Get in touch,
footer_credits,Credits,
footer_source_code,Source code,
footer_made_by,Made by,
map_score,Score,
map_level,Level,
map_very_alarming,Extremely alarming,
map_alarming,Alarming,
map_serious,Serious,
map_moderate,Moderate,
map_low,Low,
map_no_data,No data,
map_not_calculated,Not calculated,
country_score_data,Country data (in %),
country_score_undernourished,Proportion of undernourished in population (%),
country_score_stunting,Prevalence of stunting in children under five years (%),
country_score_mortality,Under five mortality rate (%),
country_score_wasting,Prevalence of wasting in children under five years (%),
share_title, Share,
share_description, Share this visualization with others on your preferred social network.,
embed_title, Embed,
embed_description, Use the following embed code to embed this visualization in your on website.,
