"code","country","region","subregion","zone"
"BHR","Bahrain","MENA","ME","Near East and North Africa"
"LBY","Libya","MENA","NA","Near East and North Africa"
"QAT","Qatar","MENA","ME","Near East and North Africa"
"SYR","Syrian Arab Republic","MENA","ME","Near East and North Africa"
"YEM","Yemen, Rep.","MENA","ME","Near East and North Africa"
"IRQ","Iraq","MENA","ME","Near East and North Africa"
"EGY","Egypt, Arab Rep.","MENA","NA","Near East and North Africa"
"MAR","Morocco","MENA","NA","Near East and North Africa"
"DZA","Algeria","MENA","NA","Near East and North Africa"
"IRN","Iran, Islamic Rep.","MENA","ME","Near East and North Africa"
"LBN","Lebanon","MENA","ME","Near East and North Africa"
"JOR","Jordan","MENA","ME","Near East and North Africa"
"TUN","Tunisia","MENA","NA","Near East and North Africa"
"SAU","Saudi Arabia","MENA","ME","Near East and North Africa"
"TUR","Turkey","MENA","ME","Near East and North Africa"
"KWT","Kuwait","MENA","ME","Near East and North Africa"
"SLE","Sierra Leone","SSA","WAF","West Africa"
"NER","Niger","SSA","WAF","West Africa"
"NGA","Nigeria","SSA","WAF","West Africa"
"BFA","Burkina Faso","SSA","WAF","West Africa"
"LBR","Liberia","SSA","WAF","West Africa"
"GNB","Guinea-Bissau","SSA","WAF","West Africa"
"MLI","Mali","SSA","WAF","West Africa"
"GIN","Guinea","SSA","WAF","West Africa"
"CIV","Côte d'Ivoire","SSA","WAF","West Africa"
"SEN","Senegal","SSA","WAF","West Africa"
"TGO","Togo","SSA","WAF","West Africa"
"MRT","Mauritania","SSA","WAF","West Africa"
"BEN","Benin","SSA","WAF","West Africa"
"GMB","Gambia, The","SSA","WAF","West Africa"
"GHA","Ghana","SSA","WAF","West Africa"
"ZAR","Congo, Dem. Rep.","SSA","CAF","Central and Southern Africa"
"CAF","Central African Republic","SSA","CAF","Central and Southern Africa"
"TCD","Chad","SSA","CAF","Central and Southern Africa"
"AGO","Angola","SSA","CAF","Central and Southern Africa"
"NAM","Namibia","SSA","SAF","Central and Southern Africa"
"COG","Congo, Rep.","SSA","CAF","Central and Southern Africa"
"SWZ","Swaziland","SSA","SAF","Central and Southern Africa"
"CMR","Cameroon","SSA","CAF","Central and Southern Africa"
"LSO","Lesotho","SSA","SAF","Central and Southern Africa"
"BWA","Botswana","SSA","SAF","Central and Southern Africa"
"GAB","Gabon","SSA","CAF","Central and Southern Africa"
"ZAF","South Africa","SSA","SAF","Central and Southern Africa"
"BDI","Burundi","SSA","EAF","East Africa"
"COM","Comoros","SSA","EAF","East Africa"
"ERI","Eritrea","SSA","EAF","East Africa"
"SOM","Somalia","SSA","EAF","East Africa"
"SSD","South Sudan","SSA","EAF","East Africa"
"SDN","Sudan","SSA","EAF","East Africa"
"ZMB","Zambia","SSA","EAF","East Africa"
"MDG","Madagascar","SSA","EAF","East Africa"
"ETH","Ethiopia","SSA","EAF","East Africa"
"DJI","Djibouti","SSA","EAF","East Africa"
"MOZ","Mozambique","SSA","EAF","East Africa"
"ZWE","Zimbabwe","SSA","EAF","East Africa"
"RWA","Rwanda","SSA","EAF","East Africa"
"TZA","Tanzania","SSA","EAF","East Africa"
"UGA","Uganda","SSA","EAF","East Africa"
"MWI","Malawi","SSA","EAF","East Africa"
"KEN","Kenya","SSA","EAF","East Africa"
"MUS","Mauritius","SSA","EAF","East Africa"
"BOL","Bolivia","LAC","LA","South America"
"GUY","Guyana","LAC","LA","South America"
"ECU","Ecuador","LAC","LA","South America"
"PRY","Paraguay","LAC","LA","South America"
"SUR","Suriname","LAC","LA","South America"
"PER","Peru","LAC","LA","South America"
"COL","Colombia","LAC","LA","South America"
"TTO","Trinidad & Tobago","LAC","LA","South America"
"VEN","Venezuela, RB","LAC","LA","South America"
"URY","Uruguay","LAC","LA","South America"
"BRA","Brazil","LAC","LA","South America"
"ARG","Argentina","LAC","LA","South America"
"CHL","Chile","LAC","LA","South America"
"HTI","Haiti","LAC","CAR","Central America and the Caribbean"
"GTM","Guatemala","LAC","CAR","Central America and the Caribbean"
"NIC","Nicaragua","LAC","CAR","Central America and the Caribbean"
"HND","Honduras","LAC","CAR","Central America and the Caribbean"
"SLV","El Salvador","LAC","CAR","Central America and the Caribbean"
"DOM","Dominican Republic","LAC","CAR","Central America and the Caribbean"
"PAN","Panama","LAC","CAR","Central America and the Caribbean"
"JAM","Jamaica","LAC","CAR","Central America and the Caribbean"
"MEX","Mexico","LAC","CAR","Central America and the Caribbean"
"CRI","Costa Rica","LAC","CAR","Central America and the Caribbean"
"CUB","Cuba","LAC","CAR","Central America and the Caribbean"
"BTN","Bhutan","SA","SA","South, East, and Southeast Asia"
"PNG","Papua New Guinea","SEA","SEA","Central America and the Caribbean"
"TMP","Timor-Leste","SEA","SEA","Central America and the Caribbean"
"AFG","Afghanistan","SA","SA","Central America and the Caribbean"
"PAK","Pakistan","SA","SA","Central America and the Caribbean"
"IND","India","SA","SA","Central America and the Caribbean"
"PRK","North Korea","SEA","EA","Central America and the Caribbean"
"LAO","Lao PDR","SEA","SEA","Central America and the Caribbean"
"BGD","Bangladesh","SA","SA","Central America and the Caribbean"
"LKA","Sri Lanka","SA","SA","Central America and the Caribbean"
"MMR","Myanmar","SEA","EA","Central America and the Caribbean"
"KHM","Cambodia","SEA","SEA","Central America and the Caribbean"
"NPL","Nepal","SA","SA","South, East, and Southeast Asia"
"IDN","Indonesia","SEA","SEA","South, East, and Southeast Asia"
"PHL","Philippines","SEA","SEA","South, East, and Southeast Asia"
"MNG","Mongolia","SEA","EA","South, East, and Southeast Asia"
"VNM","Vietnam","SEA","SEA","South, East, and Southeast Asia"
"THA","Thailand","SEA","SEA","South, East, and Southeast Asia"
"MYS","Malaysia","SEA","SEA","South, East, and Southeast Asia"
"FJI","Fiji","SEA","SEA","South, East, and Southeast Asia"
